slavery_0;Illegal;;;;;;;;;;;;;x
slavery_1;Servitude;;;;;;;;;;;;;x
slavery_2;Elven;;;;;;;;;;;;;x
slavery_3;Tevinter;;;;;;;;;;;;;x
slavery_4;Universal;;;;;;;;;;;;;x
alienage;Alienage Status;;;;;;;;;;;;;x
alienage_0;Free;;;;;;;;;;;;;x
alienage_1;Favoured;;;;;;;;;;;;;x
alienage_2;Contained;;;;;;;;;;;;;x
alienage_3;Exploited;;;;;;;;;;;;;x
alienage_4;Enslaved;;;;;;;;;;;;;x
